Exchange Date,Close,Net,%Chg,Open,Low,High,log_return
12-Jan-2021,"3,801.1911",+1.5859,+0.0417%,"3,801.1911","3,801.1911","3,801.1911",0.000417298
11-Jan-2021,"3,799.6052",-25.0757,-0.6556%,"3,799.6052","3,799.6052","3,799.6052",-0.006577872
08-Jan-2021,"3,824.6809",+20.8905,+0.5492%,"3,824.6809","3,824.6809","3,824.6809",0.005476996
07-Jan-2021,"3,803.7904",+55.6526,+1.4848%,"3,803.7904","3,803.7904","3,803.7904",0.014738913
06-Jan-2021,"3,748.1378",+21.2820,+0.5710%,"3,748.1378","3,748.1378","3,748.1378",0.005694201
05-Jan-2021,"3,726.8558",+26.2090,+0.7082%,"3,726.8558","3,726.8558","3,726.8558",0.007057314
04-Jan-2021,"3,700.6468",-55.4247,-1.4756%,"3,700.6468","3,700.6468","3,700.6468",-0.014865982
31-Dec-2020,"3,756.0715",+24.0295,+0.6439%,"3,756.0715","3,756.0715","3,756.0715",0.00641806
30-Dec-2020,"3,732.0420",+5.0019,+0.1342%,"3,732.0420","3,732.0420","3,732.0420",0.001341157
29-Dec-2020,"3,727.0401",-8.3156,-0.2226%,"3,727.0401","3,727.0401","3,727.0401",-0.002228669
28-Dec-2020,"3,735.3557",+32.2979,+0.8722%,"3,735.3557","3,735.3557","3,735.3557",0.008684138
24-Dec-2020,"3,703.0578",+13.0440,+0.3535%,"3,703.0578","3,703.0578","3,703.0578",0.003528713
23-Dec-2020,"3,690.0138",+2.7533,+0.0747%,"3,690.0138","3,690.0138","3,690.0138",0.000746427
22-Dec-2020,"3,687.2605",-7.6592,-0.2073%,"3,687.2605","3,687.2605","3,687.2605",-0.002075052
21-Dec-2020,"3,694.9197",-14.4887,-0.3906%,"3,694.9197","3,694.9197","3,694.9197",-0.003913581
18-Dec-2020,"3,709.4084",-13.0738,-0.3512%,"3,709.4084","3,709.4084","3,709.4084",-0.003518301
17-Dec-2020,"3,722.4822",+21.3084,+0.5757%,"3,722.4822","3,722.4822","3,722.4822",0.005740691
16-Dec-2020,"3,701.1738",+6.5517,+0.1773%,"3,701.1738","3,701.1738","3,701.1738",0.001771737
15-Dec-2020,"3,694.6221",+47.1289,+1.2921%,"3,694.6221","3,694.6221","3,694.6221",0.012838139
14-Dec-2020,"3,647.4932",-15.9647,-0.4358%,"3,647.4932","3,647.4932","3,647.4932",-0.004367346
11-Dec-2020,"3,663.4579",-4.6458,-0.1267%,"3,663.4579","3,663.4579","3,663.4579",-0.001267343
10-Dec-2020,"3,668.1037",-4.7160,-0.1284%,"3,668.1037","3,668.1037","3,668.1037",-0.001284852
09-Dec-2020,"3,672.8197",-29.4283,-0.7949%,"3,672.8197","3,672.8197","3,672.8197",-0.007980525
08-Dec-2020,"3,702.2480",+10.2845,+0.2786%,"3,702.2480","3,702.2480","3,702.2480",0.002781772
07-Dec-2020,"3,691.9635",-7.1579,-0.1935%,"3,691.9635","3,691.9635","3,691.9635",-0.001936902
04-Dec-2020,"3,699.1214",+32.4053,+0.8838%,"3,699.1214","3,699.1214","3,699.1214",0.008798866
03-Dec-2020,"3,666.7161",-2.2895,-0.0624%,"3,666.7161","3,666.7161","3,666.7161",-0.000624206
02-Dec-2020,"3,669.0056",+6.5523,+0.1789%,"3,669.0056","3,669.0056","3,669.0056",0.001787448
01-Dec-2020,"3,662.4533",+40.8199,+1.1271%,"3,662.4533","3,662.4533","3,662.4533",0.011208084
30-Nov-2020,"3,621.6334",-16.7202,-0.4596%,"3,621.6334","3,621.6334","3,621.6334",-0.004606132
27-Nov-2020,"3,638.3536",+8.7076,+0.2399%,"3,638.3536","3,638.3536","3,638.3536",0.002396149
25-Nov-2020,"3,629.6460",-5.7603,-0.1584%,"3,629.6460","3,629.6460","3,629.6460",-0.001585756
24-Nov-2020,"3,635.4063",+57.8159,+1.6161%,"3,635.4063","3,635.4063","3,635.4063",0.016031378
